e,b,B,a,A,ts_recv,sym,p,q
aggTrade,,,,,33,ETHUSDT,2002.9028054784037,0.001
bookTicker,2002.3288306973202,0.01,2003.3288306973202,0.01,34,ETHUSDT,,
aggTrade,,,,,34,ETHUSDT,2002.8288306973202,0.001
bookTicker,2001.8658684885909,0.01,2002.8658684885909,0.01,35,ETHUSDT,,
aggTrade,,,,,35,ETHUSDT,2002.3658684885909,0.001
bookTicker,2002.0278350219123,0.01,2003.0278350219123,0.01,36,ETHUSDT,,
aggTrade,,,,,36,ETHUSDT,2002.5278350219123,0.001
bookTicker,2001.991781666453,0.01,2002.991781666453,0.01,37,ETHUSDT,,
aggTrade,,,,,37,ETHUSDT,2002.491781666453,0.001
bookTicker,2002.6554411862312,0.01,2003.6554411862312,0.01,38,ETHUSDT,,
aggTrade,,,,,38,ETHUSDT,2003.1554411862312,0.001
bookTicker,2002.4740307139955,0.01,2003.4740307139955,0.01,39,ETHUSDT,,
aggTrade,,,,,39,ETHUSDT,2002.9740307139955,0.001
bookTicker,2002.940572716805,0.01,2003.940572716805,0.01,40,ETHUSDT,,
aggTrade,,,,,40,ETHUSDT,2003.440572716805,0.001
bookTicker,2002.7301142953247,0.01,2003.7301142953247,0.01,41,ETHUSDT,,
aggTrade,,,,,41,ETHUSDT,2003.2301142953247,0.001
bookTicker,2002.645298920123,0.01,2003.645298920123,0.01,42,ETHUSDT,,
aggTrade,,,,,42,ETHUSDT,2003.145298920123,0.001
bookTicker,2002.970468572741,0.01,2003.970468572741,0.01,43,ETHUSDT,,
aggTrade,,,,,43,ETHUSDT,2003.470468572741,0.001
bookTicker,2002.8045470418822,0.01,2003.8045470418822,0.01,44,ETHUSDT,,
aggTrade,,,,,44,ETHUSDT,2003.3045470418822,0.001
bookTicker,2002.9364436945655,0.01,2003.9364436945655,0.01,45,ETHUSDT,,
aggTrade,,,,,45,ETHUSDT,2003.4364436945655,0.001
bookTicker,2002.6235677585635,0.01,2003.6235677585635,0.01,46,ETHUSDT,,
aggTrade,,,,,46,ETHUSDT,2003.1235677585635,0.001
bookTicker,2002.1717262485065,0.01,2003.1717262485065,0.01,47,ETHUSDT,,
aggTrade,,,,,47,ETHUSDT,2002.6717262485065,0.001
bookTicker,2001.960064388939,0.01,2002.960064388939,0.01,48,ETHUSDT,,
aggTrade,,,,,48,ETHUSDT,2002.460064388939,0.001
bookTicker,2001.848621683486,0.01,2002.848621683486,0.01,49,ETHUSDT,,
aggTrade,,,,,49,ETHUSDT,2002.348621683486,0.001
bookTicker,2001.697406461937,0.01,2002.697406461937,0.01,50,ETHUSDT,,
aggTrade,,,,,50,ETHUSDT,2002.197406461937,0.001
bookTicker,2002.1694452944057,0.01,2003.1694452944057,0.01,51,ETHUSDT,,
aggTrade,,,,,51,ETHUSDT,2002.6694452944057,0.001
bookTicker,2002.0084553988706,0.01,2003.0084553988706,0.01,52,ETHUSDT,,
aggTrade,,,,,52,ETHUSDT,2002.5084553988706,0.001
bookTicker,2002.2966390248794,0.01,2003.2966390248794,0.01,53,ETHUSDT,,
aggTrade,,,,,53,ETHUSDT,2002.7966390248794,0.001
bookTicker,2002.6110623013847,0.01,2003.6110623013847,0.01,54,ETHUSDT,,
aggTrade,,,,,54,ETHUSDT,2003.1110623013847,0.001
bookTicker,2002.9259856957246,0.01,2003.9259856957246,0.01,55,ETHUSDT,,
aggTrade,,,,,55,ETHUSDT,2003.4259856957246,0.001
bookTicker,2002.6988544939888,0.01,2003.6988544939888,0.01,56,ETHUSDT,,
aggTrade,,,,,56,ETHUSDT,2003.1988544939888,0.001
bookTicker,2002.6968981831476,0.01,2003.6968981831476,0.01,57,ETHUSDT,,
aggTrade,,,,,57,ETHUSDT,2003.1968981831476,0.001
bookTicker,2002.9569035526306,0.01,2003.9569035526306,0.01,58,ETHUSDT,,
aggTrade,,,,,58,ETHUSDT,2003.4569035526306,0.001
bookTicker,2002.539708959049,0.01,2003.539708959049,0.01,59,ETHUSDT,,
aggTrade,,,,,59,ETHUSDT,2003.039708959049,0.001
bookTicker,2002.021196315333,0.01,2003.021196315333,0.01,60,ETHUSDT,,
aggTrade,,,,,60,ETHUSDT,2002.521196315333,0.001
bookTicker,2002.401358208467,0.01,2003.401358208467,0.01,61,ETHUSDT,,
aggTrade,,,,,61,ETHUSDT,2002.901358208467,0.001
bookTicker,2002.3526331277644,0.01,2003.3526331277644,0.01,62,ETHUSDT,,
aggTrade,,,,,62,ETHUSDT,2002.8526331277644,0.001
bookTicker,2002.655584789547,0.01,2003.655584789547,0.01,63,ETHUSDT,,
aggTrade,,,,,63,ETHUSDT,2003.155584789547,0.001
bookTicker,2002.783944909657,0.01,2003.783944909657,0.01,64,ETHUSDT,,
aggTrade,,,,,64,ETHUSDT,2003.283944909657,0.001
bookTicker,2003.3390009778673,0.01,2004.3390009778673,0.01,65,ETHUSDT,,
aggTrade,,,,,65,ETHUSDT,2003.8390009778673,0.001
bookTicker,2003.0956966185936,0.01,2004.0956966185936,0.01,66,ETHUSDT,,
aggTrade,,,,,66,ETHUSDT,2003.5956966185936,0.001
bookTicker,2002.9948668466357,0.01,2003.9948668466357,0.01,67,ETHUSDT,,
aggTrade,,,,,67,ETHUSDT,2003.4948668466357,0.001
bookTicker,2002.526820228657,0.01,2003.526820228657,0.01,68,ETHUSDT,,
aggTrade,,,,,68,ETHUSDT,2003.026820228657,0.001
bookTicker,2002.4870919662183,0.01,2003.4870919662183,0.01,69,ETHUSDT,,
aggTrade,,,,,69,ETHUSDT,2002.9870919662183,0.001
bookTicker,2002.6477284818259,0.01,2003.6477284818259,0.01,70,ETHUSDT,,
aggTrade,,,,,70,ETHUSDT,2003.1477284818259,0.001
bookTicker,2002.9600564515406,0.01,2003.9600564515406,0.01,71,ETHUSDT,,
aggTrade,,,,,71,ETHUSDT,2003.4600564515406,0.001
bookTicker,2003.2287953931045,0.01,2004.2287953931045,0.01,72,ETHUSDT,,
aggTrade,,,,,72,ETHUSDT,2003.7287953931045,0.001
bookTicker,2003.2799944394978,0.01,2004.2799944394978,0.01,73,ETHUSDT,,
aggTrade,,,,,73,ETHUSDT,2003.7799944394978,0.001
bookTicker,2003.5385550399342,0.01,2004.5385550399342,0.01,74,ETHUSDT,,
aggTrade,,,,,74,ETHUSDT,2004.0385550399342,0.001
bookTicker,2003.9539871936693,0.01,2004.9539871936693,0.01,75,ETHUSDT,,
aggTrade,,,,,75,ETHUSDT,2004.4539871936693,0.001
bookTicker,2003.714955899751,0.01,2004.714955899751,0.01,76,ETHUSDT,,
aggTrade,,,,,76,ETHUSDT,2004.214955899751,0.001
bookTicker,2003.5998218554412,0.01,2004.5998218554412,0.01,77,ETHUSDT,,
aggTrade,,,,,77,ETHUSDT,2004.0998218554412,0.001
bookTicker,2003.2186054345111,0.01,2004.2186054345111,0.01,78,ETHUSDT,,
aggTrade,,,,,78,ETHUSDT,2003.7186054345111,0.001
bookTicker,2002.875902286356,0.01,2003.875902286356,0.01,79,ETHUSDT,,
aggTrade,,,,,79,ETHUSDT,2003.375902286356,0.001
bookTicker,2002.449973130315,0.01,2003.449973130315,0.01,80,ETHUSDT,,
aggTrade,,,,,80,ETHUSDT,2002.949973130315,0.001
bookTicker,2002.7966204471318,0.01,2003.7966204471318,0.01,81,ETHUSDT,,
aggTrade,,,,,81,ETHUSDT,2003.2966204471318,0.001
bookTicker,2002.6418918708075,0.01,2003.6418918708075,0.01,82,ETHUSDT,,
aggTrade,,,,,82,ETHUSDT,2003.1418918708075,0.001
bookTicker,2002.3323812834262,0.01,2003.3323812834262,0.01,83,ETHUSDT,,
aggTrade,,,,,83,ETHUSDT,2002.8323812834262,0.001
bookTicker,2002.2796568399187,0.01,2003.2796568399187,0.01,84,ETHUSDT,,
aggTrade,,,,,84,ETHUSDT,2002.7796568399187,0.001
bookTicker,2002.3308504809281,0.01,2003.3308504809281,0.01,85,ETHUSDT,,
aggTrade,,,,,85,ETHUSDT,2002.8308504809281,0.001
bookTicker,2002.4047356578537,0.01,2003.4047356578537,0.01,86,ETHUSDT,,
aggTrade,,,,,86,ETHUSDT,2002.9047356578537,0.001
bookTicker,2002.4969329630555,0.01,2003.4969329630555,0.01,87,ETHUSDT,,
aggTrade,,,,,87,ETHUSDT,2002.9969329630555,0.001
bookTicker,2002.4931760272257,0.01,2003.4931760272257,0.01,88,ETHUSDT,,
aggTrade,,,,,88,ETHUSDT,2002.9931760272257,0.001
bookTicker,2002.6122580425624,0.01,2003.6122580425624,0.01,89,ETHUSDT,,
aggTrade,,,,,89,ETHUSDT,2003.1122580425624,0.001
bookTicker,2002.674232887525,0.01,2003.674232887525,0.01,90,ETHUSDT,,
aggTrade,,,,,90,ETHUSDT,2003.174232887525,0.001
bookTicker,2003.040088245886,0.01,2004.040088245886,0.01,91,ETHUSDT,,
aggTrade,,,,,91,ETHUSDT,2003.540088245886,0.001
bookTicker,2002.3095512076916,0.01,2003.3095512076916,0.01,92,ETHUSDT,,
aggTrade,,,,,92,ETHUSDT,2002.8095512076916,0.001
bookTicker,2002.7883157569136,0.01,2003.7883157569136,0.01,93,ETHUSDT,,
aggTrade,,,,,93,ETHUSDT,2003.2883157569136,0.001
bookTicker,2002.5473514568948,0.01,2003.5473514568948,0.01,94,ETHUSDT,,
aggTrade,,,,,94,ETHUSDT,2003.0473514568948,0.001
bookTicker,2002.5981821573032,0.01,2003.5981821573032,0.01,95,ETHUSDT,,
aggTrade,,,,,95,ETHUSDT,2003.0981821573032,0.001
bookTicker,2002.5863253486798,0.01,2003.5863253486798,0.01,96,ETHUSDT,,
aggTrade,,,,,96,ETHUSDT,2003.0863253486798,0.001
bookTicker,2002.5178774926756,0.01,2003.5178774926756,0.01,97,ETHUSDT,,
aggTrade,,,,,97,ETHUSDT,2003.0178774926756,0.001
bookTicker,2002.3993783656024,0.01,2003.3993783656024,0.01,98,ETHUSDT,,
aggTrade,,,,,98,ETHUSDT,2002.8993783656024,0.001
bookTicker,2002.301884390043,0.01,2003.301884390043,0.01,99,ETHUSDT,,
aggTrade,,,,,99,ETHUSDT,2002.801884390043,0.001
